kernel,gx,gy,gz,bx,by,bz,funcId,smefficiency 
1,4,5,80,64,1,1,60,92.46 
0,4,8,50,64,1,1,60,71.83
1,4,8,50,64,1,1,60,93.54 
0,4,10,40,64,1,1,60,71.13
1,4,10,40,64,1,1,60,90.93 
0,4,16,25,64,1,1,60,48.73
1,4,16,25,64,1,1,60,92.53 
0,4,20,20,64,1,1,60,71.17
1,4,20,20,64,1,1,60,92.96 
0,4,25,16,64,1,1,60,71.11
1,4,25,16,64,1,1,60,93.48 
0,4,40,10,64,1,1,60,71.16
1,4,40,10,64,1,1,60,93.82 
0,4,50,8,64,1,1,60,71.68
1,4,50,8,64,1,1,60,92.71 
0,4,80,5,64,1,1,60,71.09
1,4,80,5,64,1,1,60,92.84 
0,4,100,4,64,1,1,60,71.2
1,4,100,4,64,1,1,60,93.76 
0,4,200,2,64,1,1,60,70.69
1,4,200,2,64,1,1,60,91.26 
0,4,400,1,64,1,1,52,70.11
1,4,400,1,64,1,1,52,92.59 
0,5,1,320,64,1,1,44,71.25
1,5,1,320,64,1,1,44,92.3 
0,5,2,160,64,1,1,60,66.78
1,5,2,160,64,1,1,60,91.76 
0,5,4,80,64,1,1,60,70.87
1,5,4,80,64,1,1,60,92.06 
0,5,5,64,64,1,1,60,71.49
1,5,5,64,64,1,1,60,90.79 
0,5,8,40,64,1,1,60,72.47
1,5,8,40,64,1,1,60,93.43 
0,5,10,32,64,1,1,60,69.78
1,5,10,32,64,1,1,60,93.14 
0,5,16,20,64,1,1,60,71.3
1,5,16,20,64,1,1,60,93.92 
0,5,20,16,64,1,1,60,70.61
1,5,20,16,64,1,1,60,91.13 
0,5,32,10,64,1,1,60,70.84
1,5,32,10,64,1,1,60,93.68 
0,5,40,8,64,1,1,60,71.86
1,5,40,8,64,1,1,60,92.33 
0,5,64,5,64,1,1,60,69.05
1,5,64,5,64,1,1,60,91.8 
0,5,80,4,64,1,1,60,69.87
1,5,80,4,64,1,1,60,91.32 
0,5,160,2,64,1,1,60,70.87
1,5,160,2,64,1,1,60,94.08 
0,5,320,1,64,1,1,52,71.54
1,5,320,1,64,1,1,52,91.95 
0,8,1,200,64,1,1,44,71.89
1,8,1,200,64,1,1,44,93.43 
0,8,2,100,64,1,1,60,71.43
1,8,2,100,64,1,1,60,90.81 
0,8,4,50,64,1,1,60,71.19
1,8,4,50,64,1,1,60,93.08 
0,8,5,40,64,1,1,60,69.62
1,8,5,40,64,1,1,60,92.0 
0,8,8,25,64,1,1,60,66.45
1,8,8,25,64,1,1,60,93.61 
0,8,10,20,64,1,1,60,71.15
1,8,10,20,64,1,1,60,92.73 
0,8,20,10,64,1,1,60,70.44
1,8,20,10,64,1,1,60,91.56 
0,8,25,8,64,1,1,60,71.66
1,8,25,8,64,1,1,60,94.07 
0,8,40,5,64,1,1,60,70.48
1,8,40,5,64,1,1,60,91.57 
0,8,50,4,64,1,1,60,71.36
1,8,50,4,64,1,1,60,91.71 
0,8,100,2,64,1,1,60,70.98
1,8,100,2,64,1,1,60,92.77 
0,8,200,1,64,1,1,52,71.32
1,8,200,1,64,1,1,52,91.73 
0,10,1,160,64,1,1,44,70.48
1,10,1,160,64,1,1,44,92.95 
0,10,2,80,64,1,1,60,70.28
1,10,2,80,64,1,1,60,91.33 
0,10,4,40,64,1,1,60,71.43
1,10,4,40,64,1,1,60,91.32 
0,10,5,32,64,1,1,60,68.2
1,10,5,32,64,1,1,60,91.94 
0,10,8,20,64,1,1,60,70.83
1,10,8,20,64,1,1,60,90.93 
0,10,10,16,64,1,1,60,70.65
1,10,10,16,64,1,1,60,93.07 
0,10,16,10,64,1,1,60,71.54
1,10,16,10,64,1,1,60,93.51 
0,10,20,8,64,1,1,60,71.0
1,10,20,8,64,1,1,60,91.81 
0,10,32,5,64,1,1,60,71.18
1,10,32,5,64,1,1,60,92.96 
0,10,40,4,64,1,1,60,66.92
1,10,40,4,64,1,1,60,92.5 
0,10,80,2,64,1,1,60,70.3
1,10,80,2,64,1,1,60,91.47 
0,10,160,1,64,1,1,52,71.64
1,10,160,1,64,1,1,52,91.84 
0,16,1,100,64,1,1,44,71.36
1,16,1,100,64,1,1,44,92.77 
0,16,2,50,64,1,1,60,71.1
1,16,2,50,64,1,1,60,91.36 
0,16,4,25,64,1,1,60,71.23
1,16,4,25,64,1,1,60,91.37 
0,16,5,20,64,1,1,60,71.52
1,16,5,20,64,1,1,60,92.16 
0,16,10,10,64,1,1,60,70.21
1,16,10,10,64,1,1,60,91.47 
0,16,20,5,64,1,1,60,70.39
1,16,20,5,64,1,1,60,93.49 
0,16,25,4,64,1,1,60,71.06
1,16,25,4,64,1,1,60,92.33 
0,16,50,2,64,1,1,60,71.25
1,16,50,2,64,1,1,60,93.57 
0,16,100,1,64,1,1,52,70.92
1,16,100,1,64,1,1,52,92.63 
0,20,1,80,64,1,1,44,71.45
1,20,1,80,64,1,1,44,91.41 
0,20,2,40,64,1,1,60,71.1
1,20,2,40,64,1,1,60,91.32 
0,20,4,20,64,1,1,60,71.72
1,20,4,20,64,1,1,60,91.79 
0,20,5,16,64,1,1,60,70.77
1,20,5,16,64,1,1,60,93.84 
0,20,8,10,64,1,1,60,71.17
1,20,8,10,64,1,1,60,91.38 
0,20,10,8,64,1,1,60,66.85
1,20,10,8,64,1,1,60,91.91 
0,20,16,5,64,1,1,60,69.36
1,20,16,5,64,1,1,60,93.36 
0,20,20,4,64,1,1,60,71.6
1,20,20,4,64,1,1,60,92.88 
0,20,40,2,64,1,1,60,71.62
1,20,40,2,64,1,1,60,91.09 
0,20,80,1,64,1,1,52,71.11
1,20,80,1,64,1,1,52,91.99 
0,25,1,64,64,1,1,44,72.45
1,25,1,64,64,1,1,44,92.43 
0,25,2,32,64,1,1,60,71.7
1,25,2,32,64,1,1,60,91.82 
0,25,4,16,64,1,1,60,70.88
1,25,4,16,64,1,1,60,91.69 
0,25,8,8,64,1,1,60,70.97
1,25,8,8,64,1,1,60,93.29 
0,25,16,4,64,1,1,60,70.88
1,25,16,4,64,1,1,60,93.89 
0,25,32,2,64,1,1,60,71.72
1,25,32,2,64,1,1,60,92.09 
0,25,64,1,64,1,1,52,71.02
1,25,64,1,64,1,1,52,92.63 
0,32,1,50,64,1,1,44,72.33
1,32,1,50,64,1,1,44,91.6 
0,32,2,25,64,1,1,60,70.09
1,32,2,25,64,1,1,60,90.78 
