gx,gy,gz,bx,by,bz,funcId,smefficiency 
2,1,1024,64,2,1,46,19.37 
2,2,512,64,2,1,62,19.45 
2,4,256,64,2,1,62,19.4 
2,8,128,64,2,1,62,19.43 
2,16,64,64,2,1,62,19.43 
2,32,32,64,2,1,62,19.45 
2,64,16,64,2,1,62,19.51 
2,128,8,64,2,1,62,19.45 
2,256,4,64,2,1,62,19.48 
2,512,2,64,2,1,62,19.43 
2,1024,1,64,2,1,54,19.51 
4,1,512,64,2,1,46,19.38 
4,2,256,64,2,1,62,19.47 
4,4,128,64,2,1,62,19.45 
4,8,64,64,2,1,62,19.54 
4,16,32,64,2,1,62,19.4 
4,32,16,64,2,1,62,19.52 
4,64,8,64,2,1,62,19.5 
4,128,4,64,2,1,62,19.44 
4,256,2,64,2,1,62,19.37 
4,512,1,64,2,1,54,19.56 
8,1,256,64,2,1,46,19.48 
8,2,128,64,2,1,62,19.39 
8,4,64,64,2,1,62,19.51 
8,8,32,64,2,1,62,19.52 
8,16,16,64,2,1,62,19.58 
8,32,8,64,2,1,62,19.38 
8,64,4,64,2,1,62,19.39 
8,128,2,64,2,1,62,19.47 
8,256,1,64,2,1,54,19.45 
16,1,128,64,2,1,46,18.76 
16,2,64,64,2,1,62,19.46 
16,4,32,64,2,1,62,19.53 
16,8,16,64,2,1,62,19.52 
16,16,8,64,2,1,62,19.56 
16,32,4,64,2,1,62,19.42 
16,64,2,64,2,1,62,19.47 
16,128,1,64,2,1,54,19.54 
32,1,64,64,2,1,46,19.42 
32,2,32,64,2,1,62,19.55 
32,4,16,64,2,1,62,18.86 
32,8,8,64,2,1,62,19.37 
32,16,4,64,2,1,62,19.47 
32,32,2,64,2,1,62,19.27 
32,64,1,64,2,1,54,19.46 
64,1,32,64,2,1,46,19.12 
64,2,16,64,2,1,62,19.47 
64,4,8,64,2,1,62,19.29 
64,8,4,64,2,1,62,18.91 
64,16,2,64,2,1,62,19.31 
64,32,1,64,2,1,54,19.23 
128,1,16,64,2,1,46,19.29 
128,2,8,64,2,1,62,19.42 
128,4,4,64,2,1,62,19.42 
128,8,2,64,2,1,62,19.48 
128,16,1,64,2,1,54,19.34 
256,1,8,64,2,1,46,19.57 
256,2,4,64,2,1,62,19.47 
256,4,2,64,2,1,62,19.38 
256,8,1,64,2,1,54,19.44 
512,1,4,64,2,1,46,19.45 
512,2,2,64,2,1,62,19.49 
512,4,1,64,2,1,54,19.46 
1024,1,2,64,2,1,46,19.57 
1024,2,1,64,2,1,54,19.4 
2048,1,1,64,2,1,38,19.45 
1,1,1024,128,2,1,14,11.15 
1,2,512,128,2,1,30,11.15 
1,4,256,128,2,1,30,11.16 
1,8,128,128,2,1,30,11.16 
1,16,64,128,2,1,30,11.18 
