Kernel,gx,gy,gz,bx,by,bz,gpuId,efficiency-warp-execution 
 1, 2,  6,  3,  4,  8,  8, 1,100.0 
 1, 1,  18,  16,  4,  4,  2, 1,100.0 
 0, 8,  1,  6,  8,  24,  1, 1,100.0 
 1, 24,  3,  1,  1,  16,  8, 0,100.0 
 0, 1,  18,  16,  2,  2,  8, 1,100.0 
 1, 32,  1,  1,  96,  3,  1, 1,100.0 
 0, 1,  4,  8,  8,  12,  3, 0,100.0 
 0, 4,  2,  3,  2,  12,  16, 0,100.0 
 0, 12,  8,  1,  2,  3,  16, 0,100.0 
 1, 2,  6,  4,  2,  6,  16, 1,100.0 
 0, 3,  32,  1,  1,  12,  8, 0,100.0 
 0, 12,  3,  1,  8,  1,  32, 0,100.0 
 0, 1,  6,  24,  2,  32,  1, 1,100.0 
 1, 3,  8,  12,  2,  1,  16, 1,100.0 
 1, 1,  6,  2,  4,  16,  12, 1,100.0 
 1, 36,  2,  4,  4,  2,  4, 1,100.0 
 0, 1,  1,  12,  1,  32,  24, 0,100.0 
 0, 12,  12,  1,  8,  2,  4, 0,100.0 
 0, 1,  32,  1,  24,  3,  4, 0,100.0 
 1, 2,  36,  2,  2,  16,  2, 1,100.0 
 1, 2,  9,  8,  4,  2,  8, 0,100.0 
 0, 4,  1,  4,  6,  32,  3, 0,100.0 
 1, 6,  8,  6,  1,  32,  1, 1,100.0 
 1, 2,  2,  8,  3,  96,  1, 0,100.0 
 1, 2,  24,  2,  6,  1,  16, 1,100.0 
 1, 1,  32,  3,  2,  48,  1, 1,100.0 
 0, 2,  12,  4,  24,  4,  1, 0,100.0 
 0, 4,  6,  2,  12,  1,  16, 0,100.0 
 0, 4,  4,  1,  4,  8,  18, 0,100.0 
 1, 16,  2,  3,  1,  16,  6, 1,100.0 
 0, 6,  4,  3,  128,  1,  1, 0,100.0 
 0, 2,  12,  1,  6,  8,  8, 0,100.0 
 1, 8,  1,  12,  4,  12,  2, 1,100.0 
 0, 48,  1,  1,  16,  1,  12, 0,100.0 
 0, 12,  2,  2,  2,  24,  4, 0,100.0 
 1, 4,  4,  18,  2,  4,  4, 1,100.0 
 0, 2,  3,  48,  2,  8,  2, 0,100.0 
 0, 1,  1,  24,  1,  16,  24, 0,100.0 
 1, 4,  6,  1,  16,  8,  3, 1,100.0 
 0, 2,  4,  9,  8,  4,  4, 0,100.0 
 0, 4,  1,  6,  1,  192,  2, 0,100.0 
 0, 1,  6,  4,  1,  192,  2, 0,100.0 
 1, 2,  1,  8,  12,  12,  4, 1,100.0 
 1, 8,  4,  1,  24,  4,  3, 0,100.0 
 0, 1,  1,  16,  32,  6,  3, 1,100.0 
 0, 12,  1,  2,  2,  48,  4, 0,100.0 
 1, 2,  4,  3,  6,  2,  32, 1,100.0 
 0, 3,  2,  16,  1,  12,  8, 0,100.0 
 1, 16,  1,  1,  3,  64,  3, 1,100.0 
 0, 1,  2,  8,  12,  1,  48, 0,100.0 
 0, 24,  1,  12,  8,  4,  1, 0,100.0 
 0, 12,  1,  8,  4,  8,  3, 0,100.0 
 1, 2,  4,  4,  288,  1,  1, 1,100.0 
 1, 18,  2,  8,  16,  1,  2, 0,100.0 
 1, 2,  1,  144,  4,  2,  4, 1,100.0 
 0, 8,  1,  18,  1,  2,  32, 0,100.0 
 0, 12,  1,  8,  2,  48,  1, 0,100.0 
 1, 4,  2,  2,  24,  6,  4, 1,100.0 
