Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc
1,4,16,2,32,16,1,0,0.047326
1,64,1,2,4,128,1,0,0.046112
1,8,128,2,2,8,2,0,0.047972
1,8,8,4,4,16,4,0,0.047021
1,4,2,128,2,2,16,0,0.04725
0,16,4,8,2,64,1,0,0.834005
1,2,1,32,32,32,1,0,0.047206
1,1,32,16,1,32,4,0,0.046238
1,512,2,2,1,16,2,0,0.048296
1,4,8,8,16,4,4,0,0.046911
1,1,8,8,32,2,16,0,0.048302
1,1,8,16,16,4,8,0,0.047026
1,1,32,8,4,64,1,0,0.046954
1,8,4,64,1,4,8,0,0.048567
1,4,4,4,8,128,1,0,0.046732
1,2,64,8,2,16,2,0,0.047026
1,128,4,1,4,2,16,0,0.046148
1,64,16,1,16,4,1,0,0.046456
1,1,2,64,8,32,2,0,0.046412
1,16,2,2,1,1024,1,0,0.047416
1,2,1,512,2,1,32,0,0.047368
1,16,1,16,2,64,2,0,0.047625
1,1,64,4,256,1,1,0,0.04622
1,128,1,2,16,4,4,0,0.04741
1,4,8,2,64,2,8,0,0.04754
1,16,2,2,128,8,1,0,0.047219
1,8,1,8,8,4,32,0,0.047127
1,8,8,4,4,1,64,0,0.047118
1,2,4,8,1,32,32,0,0.047201
1,8,16,2,4,2,32,0,0.046929
1,16,1,8,64,1,8,0,0.048468
1,8,4,2,1,16,64,0,0.047933
1,8,1,64,8,8,2,0,0.046564
1,16,4,32,2,16,1,0,0.048114
1,4,32,16,16,2,1,0,0.047696
1,2,8,8,4,8,16,0,0.047935
1,32,2,2,1,64,8,0,0.047374
1,4,4,4,256,1,4,0,0.046726
1,2,8,8,32,8,2,0,0.046805
1,2,64,1,16,32,1,0,0.047326
1,8,32,1,32,1,8,0,0.045848
1,8,1,64,1,128,1,0,0.046741
1,8,32,1,4,16,4,0,0.047225
1,16,2,2,1,64,16,0,0.046977
1,64,2,2,16,16,1,0,0.046865
1,2,1,1024,1,16,2,0,0.047702
1,4,2,16,16,8,4,0,0.046464
1,8,4,8,8,16,2,0,0.046688
1,16,16,4,2,32,1,0,0.046213
1,1,4,256,2,32,1,0,0.046112
1,256,2,2,16,2,2,0,0.046086
1,8,4,2,8,128,1,0,0.046847
1,2,256,1,4,4,8,0,0.046726
1,64,2,4,2,8,8,0,0.04624
1,2,256,4,1,32,1,0,0.047941
1,2,2,64,2,16,8,0,0.047319
