gx,gy,gz,bx,by,bz,smefficiency
512,4,1,8,4,4,35.21
2,2048,2,4,2,4,98.76
32,8,1,64,1,16,10.2
16,4,16,16,16,1,19.08
128,1,4,16,2,16,10.22
512,2,2,1,128,1,35.16
4,4,256,8,8,1,67.23
64,2,8,8,4,8,19.12
2,256,16,1,2,16,98.82
4096,1,2,4,1,8,98.89
256,8,1,1,8,16,36.99
8,4,64,2,1,64,35.17
2,1,2048,1,4,16,67.22
128,16,2,16,2,2,67.34
2,16,256,4,2,4,98.85
8,2,128,4,16,2,35.21
16,64,2,1,8,16,35.15
8,1,128,2,4,32,19.13
4,1,64,2,128,4,10.25
2,16,32,2,16,8,19.11
1,1,256,1,1024,1,10.19
1,128,16,4,32,1,35.16
1,16,512,8,2,2,98.81
1024,2,2,16,2,2,67.3
32,1,8,16,4,16,10.25
2,1024,2,4,4,4,67.26
16,128,2,8,8,1,67.27
8,8,4,256,4,1,10.21
2,4,256,64,2,1,35.14
64,128,1,16,1,2,98.83
4,64,2,2,128,2,10.21
8,256,4,8,1,4,98.73
1,8,512,16,1,4,67.22
8,2,512,1,4,8,98.8
64,4,32,2,1,16,98.73
2,8,32,8,8,8,10.21
1,128,2,1,64,16,10.2
1,32,16,2,8,32,10.21
4,128,16,4,1,8,98.8
512,1,1,32,2,8,10.2
32,1,256,1,2,16,98.83
4,1,1024,4,8,2,67.33
2,128,4,8,4,8,19.12
64,2,16,8,2,8,35.2
128,8,1,8,4,8,19.12
64,4,8,2,32,2,35.22
16,1,128,2,1,64,35.15
4,256,2,2,2,32,35.18
128,4,16,4,1,8,98.76
8,16,2,1,512,2,10.21
4,8,8,64,2,8,10.23
128,1,16,2,32,2,35.19
2,16,16,128,4,1,10.19
16,2,16,1,64,8,10.19
64,1,4,16,1,64,10.23
256,1,2,16,1,32,10.22
2,1,4096,1,2,16,98.76
4,16,4,32,16,2,10.22
256,2,1,8,64,1,10.2
4,4,64,1,4,64,19.08
1,4,2048,4,1,8,98.64
2048,1,2,1,2,32,67.26
2,32,16,8,16,2,19.13
64,1,64,2,2,16,67.31
2,128,2,2,4,64,10.21
1,8,32,64,16,1,10.21
1,2048,2,16,2,2,67.32
2,1,2048,1,1,64,67.18
8,1,32,1,256,4,10.23
64,1,4,64,8,2,10.26
8,16,2,512,1,2,10.24
16,32,8,64,1,1,67.2
512,2,2,8,8,2,35.19
8,16,16,64,2,1,35.14
1,256,1,4,128,2,10.21
4,64,1,1,1024,1,10.2
1,2,128,32,1,32,10.22
8,1,256,8,2,8,35.21
32,4,16,2,4,16,35.18
4,1,128,32,2,8,10.22
8,8,32,4,2,16,35.17
1,8,512,2,32,1,67.3
2,128,2,8,8,8,10.21
2,2,512,16,2,4,35.18
8,32,32,16,2,1,98.86
256,1,2,4,4,32,10.22
8,2,32,128,1,4,10.22
1,32,8,2,16,32,10.24
2,8,128,4,1,32,35.16
64,2,32,1,1,64,67.2
2,16,8,1,128,8,10.2
32,4,2,128,1,8,10.23
1,8,32,1,16,64,10.2
2,2048,2,1,1,32,98.63
4,32,2,32,16,2,10.23
16,32,8,2,2,16,67.36
2,64,8,64,4,1,19.08
4,4,128,4,1,32,35.17
2,64,32,4,2,8,67.31
16,1,64,16,1,16,19.08
4,512,1,8,16,1,35.15
256,1,16,1,4,16,67.23
4,256,4,4,4,4,67.28
4,8,16,8,2,32,10.21
128,8,8,32,1,1,98.83
64,1,64,2,16,2,67.31
64,16,4,1,16,4,67.27
256,1,2,1,128,4,10.21
16,1,512,4,8,1,98.84
1,4,64,16,4,16,10.25
4,8,8,4,8,32,10.23
128,2,2,4,8,16,10.2
4,2,32,8,4,32,10.22
64,8,2,16,2,8,19.1
64,2,4,16,32,1,10.19
4,64,2,2,256,1,10.19
8,8,8,16,8,4,10.21
4,32,4,32,4,4,10.21
1,32,16,256,2,1,10.18
2,4096,1,1,16,2,98.1
16,16,8,8,2,8,35.21
8,16,16,64,1,2,35.16
2,128,16,1,2,32,67.28
1,2048,2,8,2,4,67.36
2,4,256,16,2,4,35.18
32,4,2,8,4,32,10.23
1,2,1024,2,16,4,35.22
128,16,2,16,4,1,67.26
1,8,256,64,2,1,35.1
1,1,4096,32,2,1,67.23
16,4,32,2,2,32,35.18
2,2,256,4,8,8,19.09
32,8,1,1,256,4,9.3
2,128,2,8,4,16,10.21
1,64,8,16,8,4,10.21
128,1,4,8,16,4,10.23
64,1,64,1,16,4,67.24
1,32,16,32,2,8,10.21
1,16,32,16,2,16,10.21
1,4,2048,2,8,2,98.84
8,32,2,32,2,8,10.21
16,1,64,4,2,32,19.17
8,2,16,64,16,1,10.22
4,256,1,2,8,16,19.12
8,1,128,2,2,64,19.14
64,16,4,4,16,1,67.25
2,4,512,4,4,4,67.26
16,1,16,2,8,64,10.25
512,2,1,1,128,2,19.06
1,128,4,8,16,4,10.21
1024,1,1,1,16,16,19.06
16,4,8,1,256,2,10.19
16,2,16,4,4,32,10.2
4,1024,1,2,16,2,67.29
16,4,64,2,1,32,67.26
2,128,8,4,32,1,35.14
2,32,8,8,1,64,10.22
32,64,4,16,2,1,98.73
2,128,32,2,2,8,98.84
1,2,4096,4,8,1,98.78
4,1,64,1,16,64,10.24
1,512,4,16,8,1,35.1
2048,1,2,8,2,4,67.31
2,32,16,2,2,64,19.11
8,2,32,4,2,64,10.21
16,32,1,512,1,1,10.18
2,32,4,2,8,64,10.23
2,256,1,128,4,1,10.21
1,1,1024,2,4,32,19.04
2048,2,1,2,16,2,67.27
1,1,512,2,32,8,10.2
8,1,64,32,1,16,10.22
