gx,gy,gz,bx,by,bz,smefficiency
1,2,64,1,1,32,18.28
16,2,2,1,64,1,10.65
1,4,1,32,2,16,8.68
1,8,2,64,2,2,10.55
32,4,1,1,1,32,18.18
64,1,2,4,8,1,18.3
2,1,4,1,16,32,9.61
1,16,2,2,32,2,10.57
1,8,2,8,1,32,10.62
32,2,1,1,8,8,14.19
16,1,1,128,2,1,10.5
4,1,1,64,1,16,8.65
4,8,1,2,8,8,11.38
2,32,1,32,2,1,11.59
16,8,1,1,1,32,18.18
1,8,4,8,2,8,10.57
2,1,2,8,64,2,8.72
1,32,2,4,1,16,10.66
1,64,2,16,2,1,18.17
2,4,1,4,32,4,9.64
1,1,4,16,16,4,8.67
2,2,4,2,16,8,10.75
2,2,2,8,16,4,9.75
1,1,4,1,32,32,8.66
2,1,4,4,32,4,9.68
1,8,8,2,4,8,10.58
4,1,1,256,2,2,8.72
4,32,1,4,8,1,18.28
1,8,16,1,2,16,18.18
4,2,1,2,4,64,9.65
8,2,1,1,32,8,10.41
8,1,4,16,2,4,10.64
32,2,1,16,1,4,10.55
1,4,1,4,32,8,8.68
4,32,1,1,16,2,19.07
2,16,2,2,8,4,10.78
2,4,8,16,2,2,10.78
4,2,1,4,16,8,9.65
2,1,2,256,4,1,8.67
1,64,1,1,64,1,10.5
2,32,1,2,8,4,10.57
2,2,32,2,16,1,18.24
1,1,4,16,8,8,8.67
1,8,1,16,32,1,9.66
4,4,1,4,16,4,10.55
4,8,2,1,1,64,10.72
2,32,2,16,1,2,18.32
2,4,4,16,1,8,10.7
1,16,4,1,1,64,10.61
16,1,8,2,8,2,18.25
1,32,1,1,32,4,10.51
8,1,4,1,8,16,10.51
16,2,1,1,2,64,11.75
2,4,2,16,4,4,10.75
2,2,2,32,16,1,10.19
8,16,1,4,2,4,18.19
8,2,8,8,4,1,19.04
2,64,1,4,2,4,18.9
1,2,8,1,16,16,10.51
8,1,8,8,4,2,11.36
4,1,2,256,1,2,9.71
16,1,2,1,32,4,10.5
1,2,32,8,8,1,10.53
32,1,1,16,4,2,10.66
1,2,8,32,8,1,10.53
4,2,2,4,2,32,10.76
4,2,4,32,2,2,11.56
2,32,1,4,1,16,10.53
1,16,2,64,2,1,10.51
1,8,4,32,4,1,10.52
32,2,1,4,4,4,10.61
8,16,1,1,16,2,19.11
2,4,16,2,2,8,18.44
16,1,4,2,2,16,10.64
1,1,8,32,16,1,10.08
1,8,8,1,2,32,10.52
1,1,16,128,2,1,10.46
16,1,8,8,1,4,19.21
2,32,1,4,4,4,10.37
2,2,8,2,4,16,11.55
4,1,2,2,8,32,10.26
4,1,2,4,4,32,10.27
1,16,8,16,1,2,18.3
1,1,16,8,8,4,10.51
64,2,1,16,2,1,18.28
4,16,1,1,64,1,10.54
8,4,2,8,8,1,10.56
1,2,64,2,1,16,19.17
1,4,8,1,64,2,10.51
1,1,8,4,8,16,9.61
4,1,4,32,8,1,10.6
4,1,2,4,32,4,9.68
16,2,1,1,8,16,12.67
2,8,1,1,8,32,12.51
1,64,2,16,1,2,18.29
2,32,2,1,2,16,18.2
1,64,2,2,8,2,18.2
2,2,8,4,4,8,10.79
8,1,1,8,64,1,9.59
1,4,2,256,1,2,9.67
1,8,16,4,4,2,18.22
1,4,2,4,2,64,9.64
2,1,16,2,16,4,10.66
2,8,1,4,16,4,10.53
4,32,1,8,4,1,18.26
1,2,16,2,1,64,10.63
2,2,8,2,8,8,10.76
2,1,4,64,2,4,9.68
4,1,1,4,16,16,8.71
16,1,2,2,4,16,10.63
1,2,8,64,2,2,10.56
1,4,32,1,1,32,18.25
1,4,1,64,4,4,8.67
2,8,1,4,32,2,10.53
2,2,16,4,2,8,10.78
