Kernel,gx,gy,gz,bx,by,gpuId,ipc
0,4,1,8,16,32,1,1,0.626035
1,4,16,2,1,4,32,1,0.168256
1,4,4,4,8,32,1,1,0.167002
1,4,16,8,8,2,2,1,0.240029
1,2,4,8,4,4,16,1,0.167386
1,1,4,4,128,1,8,1,0.190277
1,32,2,1,2,16,8,1,0.167106
1,64,2,2,2,8,4,1,0.186553
1,2,1,128,1,32,2,1,0.186901
1,2,1,32,4,1,64,1,0.166989
1,1,2,64,2,64,1,1,0.168007
1,16,4,1,1,128,2,1,0.303284
1,1,32,2,4,16,4,1,0.167061
1,1,16,2,4,128,1,1,0.17605
1,4,16,8,8,4,1,1,0.238887
1,1,16,1,4,128,2,1,0.19042
0,8,2,32,1,16,2,1,0.41438
1,1,4,4,1,32,32,1,0.190401
1,4,4,16,32,1,2,1,0.186804
1,2,8,16,4,4,4,1,0.186549
1,1,2,8,16,64,1,1,0.190947
1,4,64,1,8,8,1,1,0.187603
1,32,1,4,128,1,1,1,0.167999
1,4,1,4,256,2,2,1,0.191047
1,64,2,2,16,2,2,1,0.186779
1,1,2,32,1,256,1,1,0.166958
1,8,4,4,2,32,2,1,0.168389
0,2,8,8,8,16,1,1,0.635219
1,64,1,8,2,2,8,1,0.236717
1,32,8,1,1,32,2,1,0.307671
1,1,128,1,16,1,8,1,0.168368
1,4,8,2,4,64,1,1,0.167069
0,2,16,2,4,16,4,1,0.650589
1,4,8,1,4,128,1,1,0.175533
1,2,4,16,8,4,4,1,0.168154
1,4,16,4,8,8,1,1,0.186537
1,2,1,256,1,32,1,1,0.239185
1,256,2,1,1,1,32,1,0.238951
1,1,128,4,2,4,4,1,0.242688
1,8,1,2,512,1,2,1,0.190723
1,16,16,2,32,1,1,1,0.235611
0,8,8,1,8,4,8,1,0.622186
1,4,4,16,32,2,1,1,0.186549
1,4,8,4,32,2,2,1,0.167921
1,1,8,16,1,64,2,1,0.168129
0,1,4,8,128,1,4,1,0.617072
0,1,32,4,128,1,1,1,0.590573
1,1,1,64,2,128,1,1,0.167797
1,32,1,1,32,16,1,1,0.175587
1,1,8,64,4,8,1,1,0.239328
1,4,16,4,8,1,8,1,0.186548
1,32,2,4,2,32,1,1,0.186659
1,16,2,2,32,1,8,1,0.166952
1,1,8,2,8,32,4,1,0.190457
1,16,2,4,1,4,32,1,0.168228
1,16,2,1,2,128,2,1,0.175807
1,1,4,8,16,1,32,1,0.175577
1,64,1,4,2,32,1,1,0.186753
1,128,2,2,8,2,2,1,0.242252
