Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc
1,1,16,3,32,1,6,1,0.102472
1,2,2,4,72,4,2,1,0.109191
1,1,6,3,1,8,64,1,0.117945
1,2,16,1,1,12,24,1,0.775917
1,1,1,32,2,3,48,1,0.1055
0,2,1,9,256,2,1,1,0.29913
1,16,9,2,1,1,32,1,0.091145
1,4,1,12,96,2,1,1,0.102957
1,6,4,1,6,2,32,1,0.129307
1,3,4,2,2,8,24,1,0.129496
1,12,1,24,2,2,8,1,0.092262
1,16,3,2,3,16,2,1,0.098113
1,2,1,8,3,12,16,1,0.10629
1,6,2,2,2,3,64,1,0.13084
1,2,24,2,1,3,32,1,0.098628
1,4,18,1,1,8,16,1,1.092555
1,4,2,12,2,3,16,1,0.097778
1,12,1,6,2,8,8,1,0.095133
0,1,1,36,256,1,1,1,0.301066
0,72,1,1,4,32,1,1,0.293071
1,4,1,9,2,32,4,1,0.110805
1,1,4,6,16,12,2,1,0.130387
1,12,1,8,2,2,24,1,0.09777
1,1,8,18,2,16,2,1,0.093994
1,8,4,1,1,288,1,1,0.105249
1,8,6,1,2,48,2,1,0.103818
1,8,2,3,12,2,8,1,0.10361
0,4,1,9,8,16,2,1,0.340708
1,2,1,36,2,2,32,1,0.095871
1,1,2,12,24,16,1,1,0.13347
1,3,2,6,1,8,32,1,0.113308
1,4,12,2,2,12,4,1,0.098814
1,4,2,6,96,1,2,1,0.103185
1,36,4,1,16,4,1,1,0.09405
1,6,4,1,2,48,4,1,0.130943
1,6,1,8,24,8,1,1,0.103105
0,4,1,24,6,16,1,1,0.308423
0,1,1,12,128,6,1,1,0.383511
1,24,12,1,4,2,4,1,0.092009
1,1,3,16,2,2,48,1,0.104527
1,2,2,9,2,64,2,1,0.110393
1,2,24,3,2,4,8,1,0.094512
1,18,2,4,8,2,4,1,0.09472
1,6,2,1,1,384,2,1,0.545886
1,1,16,1,12,4,12,1,0.105899
1,6,3,2,1,32,8,1,0.109935
0,12,1,8,8,2,6,1,0.350463
0,3,24,1,2,2,32,1,0.34002
0,2,1,12,6,8,8,1,0.321129
1,6,6,8,1,2,16,1,0.091345
1,3,6,1,2,32,8,1,0.116516
1,16,1,3,2,6,16,1,0.103221
1,2,6,4,1,16,12,1,0.103229
1,18,1,1,16,8,4,1,0.117543
0,2,3,3,2,32,8,1,0.343762
1,2,24,2,4,6,4,1,0.098582
1,16,1,3,4,16,3,1,0.104401
1,2,9,2,4,16,4,1,0.11211
1,2,24,2,6,8,2,1,0.097869
0,2,4,9,8,8,2,1,0.334555
0,72,2,2,1,16,2,1,0.315547
1,3,6,8,8,2,4,1,0.094641
1,8,2,1,4,72,2,1,0.107139
1,12,2,1,8,16,3,1,0.12895
1,1,16,1,4,12,12,1,0.106945
1,8,3,2,2,96,1,1,0.102096
1,1,96,1,1,4,24,1,0.098312
1,6,3,2,16,2,8,1,0.110248
1,2,8,1,32,6,3,1,0.107342
1,1,8,9,8,2,8,1,0.096872
