gx,gy,gz,bx,by,bz,gpuId,smefficiency
32,1,8,1024,1,1,0,10.21
32,2,4,1024,1,1,0,10.2
32,4,2,1024,1,1,0,10.21
32,8,1,1024,1,1,0,10.19
64,1,4,1024,1,1,0,10.19
64,2,2,1024,1,1,0,10.2
64,4,1,1024,1,1,0,10.19
128,1,2,1024,1,1,0,10.21
128,2,1,1024,1,1,0,10.21
256,1,1,1024,1,1,0,10.2
1,1,8192,16,2,1,0,98.8
1,2,4096,16,2,1,0,98.77
1,4,2048,16,2,1,0,98.83
1,8,1024,16,2,1,0,98.67
1,16,512,16,2,1,0,98.74
1,32,256,16,2,1,0,98.68
1,64,128,16,2,1,0,98.86
1,128,64,16,2,1,0,98.73
1,256,32,16,2,1,0,98.7
1,512,16,16,2,1,0,98.71
1,1024,8,16,2,1,0,98.75
1,2048,4,16,2,1,0,98.67
1,4096,2,16,2,1,0,98.78
1,8192,1,16,2,1,0,98.79
2,1,4096,16,2,1,0,98.86
2,2,2048,16,2,1,0,98.69
2,4,1024,16,2,1,0,98.7
2,8,512,16,2,1,0,98.67
2,16,256,16,2,1,0,98.72
2,32,128,16,2,1,0,98.63
2,64,64,16,2,1,0,98.75
2,128,32,16,2,1,0,98.76
2,256,16,16,2,1,0,98.67
2,512,8,16,2,1,0,98.6
2,1024,4,16,2,1,0,98.65
2,2048,2,16,2,1,0,98.82
2,4096,1,16,2,1,0,98.66
4,1,2048,16,2,1,0,98.69
4,2,1024,16,2,1,0,98.73
4,4,512,16,2,1,0,98.72
4,8,256,16,2,1,0,98.65
4,16,128,16,2,1,0,98.67
4,32,64,16,2,1,0,98.76
4,64,32,16,2,1,0,98.69
4,128,16,16,2,1,0,98.75
4,256,8,16,2,1,0,98.73
4,512,4,16,2,1,0,98.68
4,1024,2,16,2,1,0,98.66
4,2048,1,16,2,1,0,98.74
8,1,1024,16,2,1,0,98.79
8,2,512,16,2,1,0,98.67
8,4,256,16,2,1,0,98.68
8,8,128,16,2,1,0,98.8
8,16,64,16,2,1,0,98.6
8,32,32,16,2,1,0,98.67
8,64,16,16,2,1,0,98.74
8,128,8,16,2,1,0,98.72
8,256,4,16,2,1,0,98.66
8,512,2,16,2,1,0,98.79
8,1024,1,16,2,1,0,98.67
16,1,512,16,2,1,0,98.63
16,2,256,16,2,1,0,98.6
16,4,128,16,2,1,0,98.62
16,8,64,16,2,1,0,98.77
16,16,32,16,2,1,0,98.77
16,32,16,16,2,1,0,98.76
16,64,8,16,2,1,0,98.79
16,128,4,16,2,1,0,98.67
16,256,2,16,2,1,0,98.78
16,512,1,16,2,1,0,98.67
32,1,256,16,2,1,0,98.71
32,2,128,16,2,1,0,98.71
32,4,64,16,2,1,0,98.76
32,8,32,16,2,1,0,98.7
32,16,16,16,2,1,0,98.81
32,32,8,16,2,1,0,98.76
32,64,4,16,2,1,0,98.66
32,128,2,16,2,1,0,98.74
32,256,1,16,2,1,0,98.74
64,1,128,16,2,1,0,98.64
64,2,64,16,2,1,0,98.58
64,4,32,16,2,1,0,98.72
64,8,16,16,2,1,0,98.8
64,16,8,16,2,1,0,98.62
64,32,4,16,2,1,0,98.71
64,64,2,16,2,1,0,98.78
64,128,1,16,2,1,0,98.6
128,1,64,16,2,1,0,98.63
128,2,32,16,2,1,0,98.69
128,4,16,16,2,1,0,98.82
128,8,8,16,2,1,0,98.64
128,16,4,16,2,1,0,98.58
128,32,2,16,2,1,0,98.63
128,64,1,16,2,1,0,98.84
256,1,32,16,2,1,0,98.65
256,2,16,16,2,1,0,98.78
256,4,8,16,2,1,0,98.69
256,8,4,16,2,1,0,98.7
256,16,2,16,2,1,0,98.58
256,32,1,16,2,1,0,98.67
512,1,16,16,2,1,0,98.79
512,2,8,16,2,1,0,98.75
512,4,4,16,2,1,0,98.64
512,8,2,16,2,1,0,98.73
512,16,1,16,2,1,0,98.64
1024,1,8,16,2,1,0,98.68
1024,2,4,16,2,1,0,98.71
1024,4,2,16,2,1,0,98.89
1024,8,1,16,2,1,0,98.71
2048,1,4,16,2,1,0,98.69
2048,2,2,16,2,1,0,98.74
2048,4,1,16,2,1,0,98.72
4096,1,2,16,2,1,0,98.69
4096,2,1,16,2,1,0,98.66
8192,1,1,16,2,1,0,98.73
1,1,4096,32,2,1,0,67.19
1,2,2048,32,2,1,0,67.25
1,4,1024,32,2,1,0,67.25
1,8,512,32,2,1,0,67.26
1,16,256,32,2,1,0,67.27
1,32,128,32,2,1,0,67.2
1,64,64,32,2,1,0,67.25
1,128,32,32,2,1,0,67.24
1,256,16,32,2,1,0,67.24
1,512,8,32,2,1,0,67.24
1,1024,4,32,2,1,0,67.23
1,2048,2,32,2,1,0,67.21
1,4096,1,32,2,1,0,67.18
2,1,2048,32,2,1,0,67.26
2,2,1024,32,2,1,0,67.28
2,4,512,32,2,1,0,67.26
2,8,256,32,2,1,0,67.28
2,16,128,32,2,1,0,67.27
2,32,64,32,2,1,0,67.3
2,64,32,32,2,1,0,67.31
2,128,16,32,2,1,0,67.25
2,256,8,32,2,1,0,67.28
2,512,4,32,2,1,0,67.3
2,1024,2,32,2,1,0,67.32
2,2048,1,32,2,1,0,67.26
4,1,1024,32,2,1,0,67.24
4,2,512,32,2,1,0,67.28
4,4,256,32,2,1,0,67.24
4,8,128,32,2,1,0,67.28
4,16,64,32,2,1,0,67.26
4,32,32,32,2,1,0,67.23
4,64,16,32,2,1,0,67.32
4,128,8,32,2,1,0,67.25
4,256,4,32,2,1,0,67.29
4,512,2,32,2,1,0,67.3
4,1024,1,32,2,1,0,67.28
8,1,512,32,2,1,0,67.22
8,2,256,32,2,1,0,67.28
8,4,128,32,2,1,0,67.3
8,8,64,32,2,1,0,67.26
8,16,32,32,2,1,0,67.26
8,32,16,32,2,1,0,67.28
8,64,8,32,2,1,0,67.27
8,128,4,32,2,1,0,67.27
8,256,2,32,2,1,0,67.27
8,512,1,32,2,1,0,67.26
16,1,256,32,2,1,0,67.16
16,2,128,32,2,1,0,67.27
16,4,64,32,2,1,0,67.25
16,8,32,32,2,1,0,67.3
16,16,16,32,2,1,0,67.28
16,32,8,32,2,1,0,67.29
16,64,4,32,2,1,0,67.27
16,128,2,32,2,1,0,67.27
16,256,1,32,2,1,0,67.28
32,1,128,32,2,1,0,67.25
32,2,64,32,2,1,0,67.22
32,4,32,32,2,1,0,67.24
32,8,16,32,2,1,0,67.3
32,16,8,32,2,1,0,67.3
32,32,4,32,2,1,0,67.31
32,64,2,32,2,1,0,67.29
32,128,1,32,2,1,0,67.26
64,1,64,32,2,1,0,67.26
64,2,32,32,2,1,0,67.26
64,4,16,32,2,1,0,67.28
64,8,8,32,2,1,0,67.3
64,16,4,32,2,1,0,67.28
64,32,2,32,2,1,0,67.24
64,64,1,32,2,1,0,67.21
128,1,32,32,2,1,0,67.23
128,2,16,32,2,1,0,67.28
128,4,8,32,2,1,0,67.3
128,8,4,32,2,1,0,67.28
128,16,2,32,2,1,0,67.29
128,32,1,32,2,1,0,67.3
256,1,16,32,2,1,0,67.26
256,2,8,32,2,1,0,67.24
256,4,4,32,2,1,0,67.24
256,8,2,32,2,1,0,67.32
256,16,1,32,2,1,0,67.25
512,1,8,32,2,1,0,67.21
512,2,4,32,2,1,0,67.3
512,4,2,32,2,1,0,67.21
512,8,1,32,2,1,0,67.21
1024,1,4,32,2,1,0,67.22
1024,2,2,32,2,1,0,67.32
1024,4,1,32,2,1,0,67.3
2048,1,2,32,2,1,0,67.23
